gene_id,study_id,omic_layer,species,tissue,sex,age_range,effect_size,direction,p_value,q_value,standard_error,source
ENSMUSG00000028991,GEO:GSE90207,transcriptome,mouse,brain,female,3m_vs_24m,0.0907,up,0.796888,1.0,0.3524,GEO
ENSMUSG00000028991,GEO:GSE90208,transcriptome,mouse,muscle,both,20-80,-0.0822,down,0.783435,1.0,0.2989,GEO
ENSMUSG00000028991,GEO:GSE90209,transcriptome,mouse,muscle,both,3m_vs_24m,0.1646,up,0.65269,0.979034,0.3657,GEO
ENSMUSG00000028991,GEO:GSE90210,transcriptome,mouse,muscle,both,3m_vs_24m,0.0744,up,0.840124,1.0,0.3686,GEO
ENSG00000140443,GEO:GSE90211,transcriptome,human,blood,male,young_vs_old,0.0197,up,0.962323,1.0,0.4167,GEO
ENSG00000140443,GEO:GSE90212,transcriptome,human,blood,both,3m_vs_24m,-0.3883,down,0.306027,0.45904,0.3793,GEO
ENSG00000140443,GEO:GSE90213,transcriptome,human,blood,female,3m_vs_24m,-0.2646,down,0.506883,0.760324,0.3987,GEO
ENSG00000140443,GEO:GSE90214,transcriptome,human,brain,both,young_vs_old,-0.4851,down,0.239869,0.359804,0.4127,GEO
ENSG00000140443,GEO:GSE90215,transcriptome,human,brain,both,3m_vs_24m,-0.4968,down,0.275794,0.41369,0.4559,GEO
ENSG00000140443,GEO:GSE90216,transcriptome,human,brain,female,young_vs_old,0.1331,up,0.631919,0.947878,0.2779,GEO
ENSG00000140443,GEO:GSE90217,transcriptome,human,muscle,male,young_vs_old,-0.4269,down,0.301193,0.451789,0.4129,GEO
ENSG00000140443,GEO:GSE90218,transcriptome,human,muscle,both,3m_vs_24m,-0.322,down,0.470217,0.705325,0.4459,GEO
ENSG00000140443,GEO:GSE90219,transcriptome,human,muscle,female,20-80,-0.475,down,0.160587,0.240881,0.3385,GEO
ENSMUSG00000005533,GEO:GSE90220,transcriptome,mouse,blood,both,20-80,-0.2026,down,0.469251,0.703876,0.2799,GEO
ENSMUSG00000005533,GEO:GSE90221,transcriptome,mouse,blood,male,20-80,-0.1829,down,0.571835,0.857752,0.3236,GEO
ENSMUSG00000005533,GEO:GSE90222,transcriptome,mouse,blood,both,20-80,-0.1043,down,0.762535,1.0,0.3453,GEO
ENSMUSG00000005533,GEO:GSE90223,transcriptome,mouse,brain,both,young_vs_old,-0.3351,down,0.388814,0.583221,0.3888,GEO
ENSMUSG00000005533,GEO:GSE90224,transcriptome,mouse,brain,female,young_vs_old,-0.2876,down,0.483311,0.724966,0.4103,GEO
ENSMUSG00000005533,GEO:GSE90225,transcriptome,mouse,brain,female,3m_vs_24m,-0.4067,down,0.14289,0.214336,0.2776,GEO
ENSMUSG00000005533,GEO:GSE90226,transcriptome,mouse,muscle,male,young_vs_old,-0.4888,down,0.143052,0.214577,0.3338,GEO
ENSMUSG00000005533,GEO:GSE90227,transcriptome,mouse,muscle,male,3m_vs_24m,-0.2149,down,0.591183,0.886775,0.4001,GEO
ENSMUSG00000005533,GEO:GSE90228,transcriptome,mouse,muscle,female,young_vs_old,-0.157,down,0.628777,0.943166,0.3247,GEO
